Code,Principal Commodity through TRIVANDRUM AIRPORT,2012-13 (Value in Rs. Crore),2013-14 (Value in Rs. Crore)
99,Other Commodities,1.03,0.68
B1,SPICES,3.72,NA
C7,FRESH FRUITS,45.86,62.32
C8,FRESH VEGETABLES,47.18,47.74
C9,PROCESSED VEGETABLES,0.4,NA
D1,PROCESSED FRUITS AND JUICES,0.79,1.04
D2,CEREAL PREPARATIONS,NA,0.45
D5,MISC PROCESSED ITEMS,0.54,0.39
E4,FLORICLTR PRODUCTS,1.43,3.21
E7,MARINE PRODUCTS,165.45,173.52
H1,SPORTS GOODS,0.41,NA
H8,"DRUG FORMULATIONS, BIOLOGICALS",1.48,0.55
I1,SURGICALS,1.23,0.56
I5,COSMETICS AND TOILETRIES,0.4,NA
I7,RESIDUL CHEMICL AND ALLED PROD,4,1.62
I9,OTHR RUBBER PRODCT EXCPT FOOTW,2.5,0.97
J7,"BOOKS, PUBLICATIONS AND PRNTNG",0.53,0.55
M3,AUTO COMPONENTS/PARTS,NA,1.52
M7,MACHINE TOOLS,NA,1.48
M8,MEDICAL AND SCIENTIFIC INSTRUM,2.85,2.37
N5,IC ENGINES AND PARTS,1.39,2.6
N6,INDL. MACHNRY FOR DAIRY ETC,1.16,NA
O1,OTHER MISC. ENGINEERING ITEMS,0.81,NA
O3,PUMPS OF ALL TYPES,NA,1.07
O9,"COMPUTER HARDWARE, PERIPHERALS",0.99,1.81
P1,CONSUMER ELECTRONICS,0.83,0.65
P2,ELECTRONICS COMPONENTS,NA,0.8
P3,ELECTRONICS INSTRUMENTS,3.75,1.03
P8,"COTTON FABRICS, MADEUPS ETC.",0.33,0.37
Q6,RMG COTTON INCL ACCESSORIES,NA,0.39
R1,RMG OF OTHR TEXTLE MATRL,0.36,0.4
Sub Total for the Port,Sub Total for the Port,289.42,308.1
% Share Of Total Export of the Port,% Share Of Total Export of the Port,98.73%,98.74%
